id,poster_id,assignee_id,type,status,priority,subject,description,information,ai_summary,created_at,updated_at
510d0d10-493f-4b21-8a65-d6b3e68a3613,16e0cba6-7525-493e-90f6-94c42f04344d,,IT_TICKET,OPEN,HIGH,Laptop won't power on,"My laptop stopped turning on this morning, screen stays black even when plugged in.",,,2026-07-28 09:15:00,2026-07-28 09:15:00
5ff74802-8358-4e55-b1ef-c05a272fd18c,16e0cba6-7525-493e-90f6-94c42f04344d,160c56e3-188e-4864-a5ff-735dc4153e93,IT_TICKET,PENDING,MEDIUM,Outlook not syncing emails,"Outlook has not synced new emails since yesterday afternoon, tried restarting the app with no luck.",Restarted app twice; no change.,,2026-07-29 10:30:00,2026-07-30 09:00:00
3e33fd94-fb70-4fb5-9a1b-d5dbc203de21,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,160c56e3-188e-4864-a5ff-735dc4153e93,IT_TICKET,RESOLVED,LOW,Monitor flickering,"External monitor flickers intermittently when connected via HDMI.",,Replaced HDMI cable resolved the issue.,2026-07-30 14:00:00,2026-08-01 09:00:00
ff20159e-6c15-4568-b8a2-6ad6ba3d1714,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,160c56e3-188e-4864-a5ff-735dc4153e93,IT_TICKET,CLOSED,HIGH,VPN client fails to connect,"VPN client throws a connection timeout error every time I try to log in remotely.",,VPN profile was corrupted; reinstalled client and reissued certificate.,2026-08-01 08:45:00,2026-08-02 10:00:00
75616585-aec8-488b-9f41-0aa0112965d9,16e0cba6-7525-493e-90f6-94c42f04344d,,IT_TICKET,OPEN,LOW,Request to install Slack,"Would like Slack installed on my work laptop for team communication.",,,2026-08-03 11:20:00,2026-08-03 11:20:00
215a4173-d2d9-4d26-9b98-647bf991dcb9,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,,IT_TICKET,PENDING,HIGH,Keyboard keys not registering,"Several keys on my keyboard have stopped registering input, making it hard to type.",,,2026-08-05 16:10:00,2026-08-05 16:10:00
2b425bd6-cd1d-4338-83d8-f79f2b43f701,16e0cba6-7525-493e-90f6-94c42f04344d,,HR_REQUEST,OPEN,MEDIUM,Annual leave request,"Requesting annual leave for a family trip.",,,2026-08-04 09:00:00,2026-08-04 09:00:00
6b763327-052b-463c-8921-5d06142f4276,16e0cba6-7525-493e-90f6-94c42f04344d,15f9737e-215e-4dc7-9408-7705acbfc545,HR_REQUEST,PENDING,LOW,NOC letter request,"Need a No Objection Certificate for a visa application.",,,2026-08-05 13:30:00,2026-08-06 09:00:00
045fa94a-1500-4b21-9ef4-725c2697ec12,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,15f9737e-215e-4dc7-9408-7705acbfc545,HR_REQUEST,RESOLVED,HIGH,Emergency leave request,"Requesting urgent leave due to a family emergency.",,Leave approved and recorded in system.,2026-08-06 15:45:00,2026-08-07 08:00:00
91ac50e3-e963-43e7-99f2-215a1fd12b1f,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,15f9737e-215e-4dc7-9408-7705acbfc545,HR_REQUEST,CLOSED,MEDIUM,Salary certificate request,"Requesting a salary certificate for a bank loan application.",,Certificate issued and sent via email.,2026-08-07 10:00:00,2026-08-08 09:30:00
df6678af-0b66-49bb-946f-08f80a63c451,16e0cba6-7525-493e-90f6-94c42f04344d,,HR_REQUEST,OPEN,HIGH,Sick leave request,"Requesting sick leave, feeling unwell and need to see a doctor.",,,2026-08-09 08:30:00,2026-08-09 08:30:00
02873e0e-c022-418e-9f74-6e3a625dd2b0,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,,HR_REQUEST,PENDING,LOW,NOC letter request,"Need a No Objection Certificate for opening a new bank account.",,,2026-08-10 12:00:00,2026-08-10 12:00:00
